,full_game_appid,demo_appid,name
0,2214650,2573370,Rolando Deluxe Demo
1,1439980,2573460,Outrunner: Neon Nights Demo
2,2412240,2572840,Bubble Ghost Remake Demo
3,2448830,2572240,Time Handlers Demo
4,2379590,2570800,Hope's Final Defense Demo
5,1690200,2570480,Musical Vibes Demo
6,2403260,2569230,Ancient Weapon Holly Demo
7,1149280,2569490,Nudel Tag Demo
8,2131150,2566180,Terranny Demo
9,2468620,2565660,Infect Demo
10,2184280,2565530,Vexlands Demo
11,1866630,2564230,Throne of Bone Demo
12,2302080,2563830,Death of a Wish Demo
13,2410030,2562220,Vinebound: Tangled Together Demo
14,2560740,2560780,Beyond fantasy Demo
15,2376270,2560900,Lunar Lander Beyond Demo
16,2558930,2560600,Hoversteppers Demo
17,2544570,2559890,LumineNight Demo
18,2509660,2559330,Unit Down Charge Demo
19,2397600,2558890,Realms of Flow Demo
20,2490300,2558210,Deep Nest Demo
21,2483520,2558000,寻物少女 Quest Girl Demo
22,2556690,2556700,Imagindar Demo
23,2445350,2556880,Spelly Cat Demo
24,2312580,2556500,Cyber souls Demo
25,2414790,2556020,Food Magician Demo
26,2348000,2555080,Bullet Heck Demo
27,2406930,2553850,Monkey Math Demo
28,2478640,2552120,Spider Fox Demo
29,2390530,2551650,Planet of War: The Legend of Fu Demo
30,378690,2551800,Potions: A Curious Tale Demo
31,1878010,2551480,Land of Zympaia The New Light Demo
32,2110610,2551580,Open Air Demo
33,2428800,2550920,Nom Nom: Cozy Forest Café Demo
34,2549390,2550940,Panzer Rollen Demo
35,2471070,2551080,Neon City of Desires Demo
36,718190,2550360,Koboo: the Tree Spirit Demo
37,2520000,2550010,HYNPYTOL Demo
38,2479000,2548620,Noise-o-matic Demo
39,2520560,2548310,Killon Demo
40,2466820,2548320,Imprecision Demo
41,2444850,2547580,Neverending Check-in: The Hotel Stories Demo
42,2365840,2547780,The Red Demo
43,2536220,2546070,Moons of True Magic Demo
44,2218120,2546230,Colorway Antics Demo
45,2427820,2545620,LongStory 2 Demo
46,1722700,2544970,Fireside Demo
47,2493220,2543900,Gynocracy Demo
48,2310150,2543060,Tome of Fates Demo
49,2142160,2543170,Turlock Holmes Demo
50,2448880,2541600,LIAN 戀 RE:CALL Demo
51,2482980,2541690,Just in Crime Demo
52,2181840,2541800,Shaper Demo
53,2540970,2540990,StanÇact -Sexy Tenacious Girls- Demo
54,2469190,2541280,Gluck 体験版
55,2394330,2540010,Adventures of Ben: Rabbit Run Demo
56,2181710,2540130,Me With Me Demo
57,2407090,2540220,Please Be Kind To The Chickens Demo
58,2106960,2540340,Paper Can't Fly Demo
59,2530280,2539550,Blooming Demo
60,2536760,2539680,Paper Planes Plus DEMO
61,2007790,2539060,普帕高中 PUPA Demo
62,2424310,2539320,ReXueLinHun Dynasty demo
63,1815290,2538450,Hitmen Party Demo
64,2304770,2538550,Neurotypical(Demo)
65,2369430,2538420,Serafina's Saga: Awakened Demo
66,2521920,2537250,Wizard Heist Demo
67,2463080,2534890,Zombie Hunter Demo
68,2471690,2534040,Stress Chess Demo
69,2513850,2533480,Apocalypse - Zombie City Demo
70,2527160,2533590,Desktop Explorer Demo
71,2447110,2533670,NPCville: Story of The Blacksmith Demo
72,2458120,2533690,Mononeko Demo
73,2512370,2531390,A Date for the Ages Demo
74,2433150,2530610,LOOP LOOP ROOM Demo
75,2173850,2530070,ASSAULT SHELL 2 Demo
76,2530080,2530130,Cyber Prison Management Demo
77,2529610,2529680,Para Ark Demo
78,2325200,2528720,Legends of Castile (Demo)
79,2527500,2527520,MiSide Demo
80,2513380,2526120,Logic Escape Demo
81,2470830,2525500,Repeat After Me Demo
82,2250960,2524900,The Voices Games Extra Collection Demo
83,2449390,2524350,Vegangsters Demo
84,1778820,2524440,TEKKEN 8 - DEMO
85,1825030,2523060,Daomei Village Demo
86,1774860,2522070,Plank Builders Demo
87,2276110,2520810,Cush's Amazin' Adventure!! (Free)
88,2518990,2519000,White Wolf - Treasure Hunter 2 Demo
89,1449180,2518160,Traxion Demo
90,2416190,2516330,Ichima-san Demo
91,2488200,2515820,Cave Of Evil Demo
92,1812210,2515510,Simpler Times Demo
93,2431600,2514520,wasteland of east Demo
94,2268560,2513920,ZSGO Demo
95,2204620,2513050,King's Blade Demo
96,2261550,2512900,龙眠的夏天 Demo
97,2214880,2512020,Europa Demo
98,1567890,2511540,Date Z Demo
99,2111990,2511560,Lose Ctrl Demo
100,2216290,2511140,Kitchen Confidence Demo
101,2501650,2509060,Electrogical Demo
102,2508560,2508710,Mechanic 8230: Mission Citytone Demo
103,2470300,2507920,Hookah Haze Demo
104,2508280,2508340,Psychiatrist Simulator 2 Demo
105,2493080,2507550,Oleksandr Lytvynenko Demo
106,2488210,2507860,BeetleQuest 2023 Demo
107,2506340,2507110,Casting Shadows Demo
108,2438790,2507240,Once Upon a Slime Demo
109,2419200,2505280,Hymble Ventures Demo
110,2446590,2504650,Mask - Beyond Lies Demo
111,2503490,2504870,廃集落探索 Demo
112,1170230,2504970,Below the Stone Demo
113,2503180,2505150,Run From Mummies Demo
114,2425110,2500060,Marki Game Collection Demo
115,2498300,2500110,The Witch Knight Anna The Black Serpent and the Golden Wind　Demo
116,2489990,2500180,Jeepney Simulator Demo
117,2055650,2499410,Rolling Rush Demo
118,2509050,3224530,Late Night Cleaning Simulator Demo
119,3044790,3224230,Plentiful Demo
120,2784620,3224300,ROGUE FLIGHT DEMO
121,2982010,3223410,Just a Lullaby Demo
122,3212180,3222620,Nightmare Shift Demo
123,2587780,3222690,异界战记 Demo
124,2959340,3222040,Undercover Animals Demo
125,2870330,3222090,Grocery Store Tycoon Demo
126,2368300,3222310,Warside Demo
127,3139540,3222330,Countin' Stars Demo
128,3091830,3221580,Space Duck: Escape Demo
129,2251220,3221840,High Times Demo
130,3144090,3221040,8MAN-ENTRANCE Demo
131,3081240,3221410,少女怪奇事件簿:永生 Salvation:Immortale Demo
132,3161780,3220890,Bonds Demo
133,3174740,3220950,EarnSomeChips Demo
134,3051650,3220030,Young Detectives: Holidays Demo
135,3108000,3220420,Only Trump: Up To Presidents! Demo
136,2918460,3219610,Tetrisweeper Demo
137,2958790,3219710,Cyclopean Demo
138,1980710,3219780,Vladimere's Lhore Demo
139,2991210,3219830,Blood & Play Demo
140,2878400,3219120,Ariane in Paradise Demo
141,3108230,3218750,Nice To Yeet You - Demo
142,3058620,3218480,Sammy Jukes: Twin Lakes Demo
143,2647800,3217800,Fireball 2 Demo
144,3106600,3217960,Unto Deepest Depths Demo
145,3212400,3217370,Elf Archer and The Disappearing Giant Tree - R18 (Demo)
146,2223310,3216930,Tales of Grimace Demo
147,3027810,3216980,Touhou Infinite Nocturne Demo
148,2500460,3215090,Inventorix Demo
149,3148470,3215250,ReTrime Demo
150,3198820,3214770,Passer Demo
151,3071660,3214830,Tanks of Freedom II Demo
152,3017130,3214960,Bashful Adoration Demo
153,2916010,3214140,Rogue Conflict Demo
154,660890,3213100,Kronostasis Demo
155,2747810,3213450,Heartsworn Abyss Demo
156,3211070,3213470,Zombie Restaurant Demo
157,2697520,3211900,Fuel Station Simulator: Drive & Pumping Demo
158,3096160,3211910,Doodle Tank Commander Demo
159,3169910,3211940,刀剑竞技场 Weapons Arena Demo
160,2301500,3211020,Paper Planes Demo
161,2548910,3211040,Peacemaker: Bloody Emperor Demo
162,3180440,3211150,Terrorsepsis Demo
163,2983920,3210580,SPARROW DEMO
164,2968970,3210830,Escape Everlit Demo
165,2257850,3210460,Strange Case Demo
166,832500,3209810,3 Minutes to Midnight Demo
167,full_game_appid,demo_appid,name
168,2303420,3209120,Bubumbu Demo
169,3175690,3209140,Solar Collision Control Demo
170,3183600,3209150,星象迷案 The Zodiac Mystery
171,3208140,3208150,Freckles Demo
172,3083020,3208240,My Beeloved Demo
173,2912750,3207060,Storefront Simulator Demo
174,310840,3206690,Perennial Demo
175,1754550,3206050,Armageddon Sky's Invasion Demo
176,2587790,3205750,Anomalous Deception (Demo)
177,3124810,3204870,Guess the Flag! Demo
178,2124480,3204890,Respark Demo
179,2751820,3204130,Hypotheses on the Symmetry between Vision and Hands - Demo
180,3190340,3204160,One Pass Demo
181,2847340,3204350,嗨皮怪兽 Demo v0.1
182,2980970,3203580,Barheim Demo
183,3163070,3203650,Blade Bounce Demo
184,3167550,3203750,Tiny Pasture Demo
185,3162190,3202820,Automated and Self Sustained Demo
186,2888890,3201550,Polar Pathways Demo
187,3166160,3201390,Oops! You're the Hero Demo
188,3063200,3201420,SWEYET: DREAMING EMULATOR: THE FAMILIAR DISCOMFORT OF THE UNPREDICTABLE: DEMO
189,3005720,3200860,Ink Escape: Coven Conundrum Demo
190,3012300,3199600,Carbon Demo
191,3166340,3199620,Cursed Maze Demo
192,2870310,3198450,Pilot Light Demo
193,2550910,3198720,Go Deep Or Go Home Demo
194,3102450,3198770,Gravepact Demo
195,3181830,3197920,Trapped Demo
196,3096650,3197020,REM: The Dreamer Demo
197,2959640,3196650,終わりの森 -Forest of soul slave- Demo
198,3191960,3196670,Office Overloaded Demo
199,2691820,3195960,Mimic Me Demo
200,3084700,3196260,Whispers Of The Shadow Demo
201,2468210,3195630,Seagull Kart Racing Demo
202,2417950,3195830,Astra Noctis Demo
203,2803170,3195130,Kind Heart Survivors Demo
204,3137500,3195210,EmyLiveShow: How To Write A Bestseller Demo
205,3194550,3194630,Bao Bao's Cozy Laundromat Demo
206,3119990,3194680,Eclipsi Demo
207,3176290,3194730,Fishing Up Demo
208,3193300,3194130,Tales of Valkyrie Demo
209,2851800,3194350,Headlice Demo
210,2446870,3194370,Monotonia Demo
211,3148670,3192220,Coming From Above! Demo
212,2652330,3191650,Hooptown Hero Demo
213,3128240,3191840,Ostrom Demo
214,3185400,3191910,The Ultimate Gate Demo
215,2536260,3190970,Mayhemers Demo
216,3184460,3191040,Five Nights at Restroom 2: Demo
217,2696730,3191100,virtual dream Demo
218,2184020,3191270,Ari Buktu and the Anytime Elevator Demo
219,1842320,3190670,Slayer : the Demon haunted World
220,3189010,3190740,The Mansion of The Macabre Demo
221,2683590,3190880,LYMBUS: Incomplete Edition
222,2895360,3190890,Moni Mons Demo
223,3140110,3189500,Babette Demo
224,2549490,3188570,Micro Manager - 90 Days Probation Demo
225,3146900,3188780,WHIP: but not too much Demo
226,3171910,3188130,PAKO Caravan Demo
227,3187540,3187590,OutRUN Demo
228,2875800,3187860,Helen in Hell Demo
229,3104290,3186940,Gravity Drop Demo
230,3186430,3186750,Koregafuko Demo
231,2910310,3186920,I Am Etheric Demo
232,3030290,3186000,Submarine Survivor Demo
233,1470740,3186140,FizzQuiz Demo
234,2924080,3186210,The Mnemograph Demo
235,2622820,3185680,Dobbel Dungeon Demo
236,3135250,3184900,Deckception Demo
237,3182400,3184100,Cherry Jump Demo
238,3176320,3184240,Happy Corp. Demo
239,3102000,3184370,Madness inside Demo
240,3183410,3183650,The Bench Demo
241,2424300,3182890,Grey Heritage: Noble Duty Demo
242,3181850,3181900,After Me Demo
243,3133390,3181000,Bouncing Agency Demo
244,2874360,3180530,Bird Feather: Aquamarine World Demo
245,3136000,3180160,YYDS Demo
246,2161280,3179540,chromatic::/Resonance Demo
247,3044610,3179800,Avalon Crew Demo
248,2943150,3179270,SNØ: Ultimate Freeriding Demo
249,3057020,3177520,Forgotten Bunker 1939 Demo
250,3103400,3177750,INSPECTION REPORT DEMO
251,3025310,3177860,Midnight Swamp Demo
252,3150960,3176910,Bulbs 2.0 Demo
253,2518630,3176410,None Shall Intrude Demo
254,2862070,3176620,Halberta Demo
255,3169330,3176690,The Exit of Nightmare Demo
256,2986600,3174980,Insight Demo
257,2000220,3175030,FunnyPizzaLand 2 Demo
258,405680,3175150,Sentou Gakuen: Revival Demo
259,2519290,3175170,Gravity Force Demo
260,3124470,3175350,Savior's Hand Demo
261,3172140,3174450,Path of the Oxiflame Demo
262,3062400,3174520,Terra Alia VR: A Multilingual Adventure Demo
263,3087900,3173380,Heritage - A Dragon's Tale Demo
264,2840590,3173720,no signal Demo
265,2669060,3172950,Beyond Astra - Alpha Preview
266,2709220,3172370,Veranoia: Nightmare of Case 37 Demo
267,2856450,3172390,Dimensionals Demo
268,3039490,3172810,Tedram Online: Car Racing & Customization Demo
269,2722210,3171950,Dungeon of Erotic Master Plus Demo
270,3147950,3171640,XOverse Demo
271,2826670,3171140,Melting Encyclopedia Demo
272,2934660,3170620,Ducking Grenades Demo
273,3169300,3169340,Rainchaser Demo
274,2553360,3169350,Death's Web Demo
275,3123480,3169730,TetrisCrush Demo
276,2892040,3169740,The Shadowed Rune Demo
277,3136170,3168470,E-FCC Demo
278,2879040,3168570,Globe Games Demo
279,2329900,3168080,The Last Exam Demo
280,3140160,3167530,Toward Dawn Demo
281,1597960,3167740,Ninja Brigade feat. Jonah Weingarten - DEMO
282,3149980,3166720,Love n Life: Happy Student Demo
283,3085640,3166780,Hypnosis Card 2 Happy Life Demo
284,3128280,3165140,Cats & Dice Demo
285,3009500,3164540,Sweep Maidens Demo
286,3083010,3163850,Flaming Trails - Lost Ember Demo
