base_appid,dlc_appid,name
1786750,2568660,家出王女 - 全年齢版ストーリー&グラフィック追加 DLC
1981700,2563730,Jacob's Quest - Voyage
2009450,2552980,Invector: Rhythm Galaxy - Latin Power Song Pack
1133420,2550750,Hero or Villain: Genesis — Supercharged!
2533950,2551000,Hot And Lovely ：Uniform - adult patch
233130,2550000,Shadow Warrior: Special Edition Upgrade
2511030,2543580,Deep Secret - adult patch
2443510,2522080,Mujina - Maze Game VR
2395550,2512740,Desktop Girlfriend Neo - Mystery DLC
2259210,2508140,Mega City Force - Digital 80's Artbook
1937670,3223540,Melobot - A Last Song - Digital Deluxe Upgrade
2988080,3223110,siMarket Supermarket Simulator - Clean & Decoration
2813290,3221360,Spiderbro 2 - Gamepad Controls
2098510,3216970,Zenkcraft - Colored Interface
3163960,3211580,Prism - Behind the Scenes
2489560,3202600,Elewar: Fused Survivors - DONATION
2459350,3202740,Taboo University Book One - Walkthrough DLC
3200480,3201150,WeightWare Artbook
1515870,3196010,Hentai Balloons 2 - DLC
2915050,3196140,Skeletal Skism 2 - Cosmetics Pack
3141020,3181620,NeveRossa Complete Guide Book
1240590,3181710,Sir Whoopass™: Threads of Mass Whoopery Skin Pack
3125070,3176900,Muhaboy - Donation DLC | Graphics Pack
2821800,3176040,Drill Core Supporter Pack
3173100,3175160,Medieval Heroes Gold Hunt - Pirates
1856210,3171470,The Frozen Kingdom art-book
2253160,3170470,Quest Master's Realm - Land of the Phoenix
3023690,3168680,Money And Lady - HAPPY BOOM PATCH
2321350,3158000,StormEdge - Supporter Pack
2105170,2113340,Nature & Wildlife - Jigsaw Puzzle - Expansion Pack 1
1479850,2109490,Spooky Party - Chompy Chomp Chomp Party
1121640,2108240,"The Wandering Village: Artbook, Wallpapers and Goodies Pack"
2104320,2104330,ToS Gamepad Tester - Testing Upgrade Pack
2096170,2100910,Furry Superstar - 18+ Adult Only Patch
2078070,2097610,Puzzling Wild DLC - 400 extra puzzle pack
1426490,2096340,LOST EPIC -Digital Artbook & Soundtrack-
2062870,2093600,Fighting! Ms. Luan!! ─ Art book
1976180,2082140,Rhythm Knights - Deviation Perspective: Master of Ceremonies - Expansion Pack
1949880,2077980,Fantasy Adventure - UnlockAll
1914010,2067080,Sweet Agents - Artbook 18+
1803960,2061360,Demon Sword: Incubus Original Soundtrack
1875280,2059580,Miner Ultra Adventures 2 - Illuminati Trail
2020090,2020120,The Space-Eating Croc Digital Wallpaper
1870140,2016890,軒轅劍外傳漢之雲 完全攻略集
1988940,2009480,Colorful Party Wars - Original Character Making
1414250,2009170,CORPSE FACTORY Art Book
1261700,2007450,Knight's Retreat - Tilt Five Edition
338810,2006900,Demise of Nations - All Maps & Modding
1913870,2005110,Tray Racers! Supporter's Pack
1996930,2004760,Pacifish - The Pavilion
1985360,2003400,Cute Cats 3 - Digital Artbook + Bonus Videos
1095040,2000810,Unexplored 2: The Wayfarer's Legacy - Digital Artbook
1257800,1995540,Hats and Hand Grenades - Capture the Hat DLC
1988750,1988920,Project Crypt - Performance Version
1953970,1976070,MATH EXPRESSions UNLIMITED
1725130,1976040,A Dark Story - DLC
1958530,1974420,Wathitdew Record™ Game Studio BATTLEFIELD Bonus Contents
1972970,1973200,Late photographer 4 Ablum
1879380,1963460,Paper Bride2  Zangling Village-Sound Track
1844170,1959970,Galactic Wars EX - Pilot's Emergency Manual
597060,1954900,Numina - Part 2
1417880,1954190,Winter Ember - Digital Comic: Issues 0-4
1698960,2319990,Project Kat - Supporter Pack
2179300,2401190,Blades of Jianghu: Ballad of Wind and Dust - Digital Artbook-
2379520,2394480,VR Fitness - R18 DLC
2383760,2392250,MONOPOLY® MADNESS DINO CITY DLC
1138850,2391340,Heavenly Bodies - Cleanup DLC
2129090,2378340,Hot Blood - Naked Outfits
2373340,2378000,Monster Line of Defense-Patch
1676380,2374800,Kingdom of Atham: All Mounts DLC
2350370,2369270,Profi Girls - NSFW Content
1740720,2368520,Have a Nice Death - Digital Artbook
2009650,2366570,Desta: The Memories Between - Digital Art Book
2601510,3336060,"Hangry - ""First Course"" Comic Book"
2460070,3331480,Half-Demon Shinobi Artbook
3326960,3327320,New SEXY Gallery! - Beach Boys: Zodiac Date
3325690,3325990,Lost & Found Collection: Free Pack
2658690,3319300,Supurr Cat Cafe: Sandwich Rush - Supporter Pack
1975580,3311820,Wild Woods - Supporter Pack
3262620,3299290,剑武玄幻之旅-进阶包
2449280,3299530,Project Fireball - Ultimate roster pack
3422140,3446440,Backyard Boxing - Lou Ratchett Skin
2578400,3437480,Bible Trivia - Reign
3358510,3427100,再刷一把2：金色传说-豪华旅人礼包
3367590,3413970,Hidden Tomatoes _ Extra Content
2756770,3387950,Tavern Manager Simulator: Supporter Pack DLC
3149430,3383310,Poker Train - Blackjack
3424740,3466780,给阿贵红包
2943100,3462520,Better With A Friend - 2024 Sketchbook
3452270,3455020,Secret Paws - Cozy Offices: Expansion Pack
3201530,3499120,Bahamut1-REMAKE-Cheat device
3154520,3366840,Blob : Theme Pack 01
280720,3365760,Imagine Earth - Galaxies
3361210,3365410,"BROK - Natal Tail, A New Christmas - Support the devs + Postcards"
1481780,3352220,Dragon Fist VR - Masters of Death
1597310,2566400,Airship: Kingdoms Adrift - War Corvettes
2548950,2548980,武林立志傳-龍吟劍
2418740,2545660,Tits and Shadows - SFW Patch
2293600,2533390,StrangerZ - Expansion Pack
1366850,2532380,Jected - Rivals - Expansion Pack
2151430,2532190,NSG - Missing Tales
1293300,2530390,Space Cats Tactics - DLC - Artbook And Music
2525170,2525180,Mystical Riddles: Ship From Beyond Collector's Edition
1800480,2523020,Defend from Candyland! - Halloween Art Pack
2477770,2518030,Summer Party Time - Survival Pack
2489300,2515610,DAYS END - BECOMING BLACKBIRD
1508000,2513470,Venice 2089 - Digital Artbook
1592110,2507940,Spirit of the Island - Adventureland
2058150,3219490,Duck Paradox - Art Book
2870420,3198710,Mech Builder DLC 1
2058970,3182220,For What Will Come: Reimagined
2562980,3177580,Kwark Online
2545740,3170680,Hive Jump 2: Survivors - Art Book
1160410,3167380,Hentai Balloons - DLC
2341700,3166600,Akpala - Tarnished Wings
3096400,3157300,Beauty Riddle - Image Pack
2386720,3153370,"STRAFTAT: Weapons, Maps and Hats"
2441700,3295440,UNDERDOGS - Sandboxxer
3224380,3287370,Retail Mage - Supporter Pack
1961950,2103330,CHAOS;HEAD NOAH - COSTUME DLC
1948870,2100580,Pierre's Adventures in French - Hint Book
1972710,2100180,Ever Seen a Cat? 2 - Paper Edition + Wallpapers
2077970,2093440,Finding Felicia Adults Only 18+ Patch
1792890,2087870,Dreamy Planet Adult Patch
2020850,2063910,Asteroid - Expansion Pass
1698910,2063201,Hardcore Trivia Giant Quiz Package
1907170,2056260,Adventure in My Head Supporter Pack
1666250,2052890,Circus Electrique - Artbook & Maps
1788850,2052360,你已经猜到结局了吗-创作者扩展与音乐原声
1145330,2052530,Skeleton Crew - Origins Digital Comic
1134150,2025850,X Wars Deluxe - Line Effect DLC
698670,2023230,Scorn: Digital Artbook
2013680,2013712,Kaz's Adventure | Extra Level Pack
1831680,2009180,Waifu Crush - Live 2D (R18)
549260,2001510,Alwa's Awakening The 8-Bit Edition
1240480,1997730,花园魔三国 - 拓展内容  额外剧情
1065310,1997840,Evil West - Wild Wild East Skin Pack
1090670,1996200,Orbi Universo - Ad Astra
1983600,1991800,TYPER GIRL 18+ DLC
1967430,1971250,Ghost Trick: Phantom Detective - Bonus Content
1211930,1967660,Ghost on the Shore - Artbook
1432390,1956100,Sonority Artbook
2023360,2402850,The Last Case of Benedict Fox Art Book
2307690,2396840,Ancient Saga: Vikings Journey - End of the story
704040,2394860,Castle Clicker Screensaver
959860,2392910,The Valiant - Coat of Arms Collection
2331850,2390980,Anime Puzzle Quest - Free Bonus Content
2287220,2386730,F1® Manager 2023: Deluxe Upgrade Pack
1500110,2374050,KNIGHT SLAVE - Additional All-Ages Story & Graphics DLC
1849790,3335150,Uncle Chop's Rocket Shop Deluxe Skin and Artbook
3270680,3333030,Kota`s New Journey - Supporter Pack
2108800,3331800,Synchronicity - Supporter Pack
3321700,3324850,Christmas Fables: The Wishing Store DLC
2736690,3323400,Void Sols Artbook and Hero's Journal
2597350,3319830,The Black Knight Chronicles: The Widow without Time - Crossroads
3148940,3319350,Realm's Crossing - Tilt Five Edition
2982530,3318240,The Shadow Over Cyberspace - Shareware Donation
2906370,3316070,Bright Lord - Bonus Content
305900,3298680,Minigame Game - Arcade Pass
1928540,3421790,Horticular - Frozen Frontier
2985740,3421290,Ocean Planet - Golden Scuba Tank
3287300,3421390,Bit-cremental: Fishistry Color
839850,3416610,Lenin - The Lion Artbook
2838940,3413690,神魔决之江湖行-附加功能
2449710,3414000,Town of Sins - Adult talk
3034580,3413620,Mysteries of Perception - The Curse
3348970,3412750,ARVIS Punch II: Krampus
3173200,3412810,Kuri Kuri Click! ~My Sweet Model!~ - Uncensor DLC
2174500,3404970,Parasite Black - Premium Supporter Pack + Cheats
2449160,3394070,While Waiting: Artbook
3274300,3394230,Awaria: Artbook + Babeczki Recipe
3372040,3386400,NUMANUIN Clicker VIP
3460800,3460850,Hidden Cats: СyberCity
2859600,3368570,Glitch Blaster's Waifu - 18+ Uncensored DLC
1133870,3365540,Space Engineers 2 Pioneer Edition
3006200,3357280,Jerico Proxyma Artbook (collector's edition)
2784330,3352430,EDYN - Founder's Pack
1229240,3350260,Chained Echoes: Ashes of Elrant
