steamId,price,copiesSold,publisherClass,reviewScore,aiContent
730,0,302158048,AAA,87,
570,0,212896574,AAA,82,
578080,0,161971233,AAA,59,
440,0,99060457,AAA,90,
1172470,0,67554185,AAA,67,
550,9.99,63975495,AAA,98,
304930,0,59633334,Indie,91,
1782210,0,54807548,Hobbyist,92,
230410,0,52803785,AAA,88,
218620,9.99,37690350,AA,90,
105600,9.99,37324726,AA,97,
1085660,0,37259315,AAA,80,
4000,9.99,36028369,AAA,97,
236390,0,34849734,AA,73,
291550,0,33194999,AAA,82,
346110,14.99,32902264,AAA,84,
322330,14.99,32632421,AA,95,
359550,19.99,32262292,AAA,84,
242760,19.99,31035621,AA,96,
945360,4.99,30419877,AA,92,
714010,0,27879772,Indie,92,
252490,39.99,27838451,AA,87,
2923300,0,27835400,Indie,83,
292030,39.99,27598430,AAA,97,
438100,0,27420682,AA,76,
413150,14.99,26946359,AA,98,
227300,19.99,26244421,AA,98,
444090,0,25137517,AA,85,
620,9.99,24622692,AAA,99,
289070,59.99,23290714,AAA,87,
477160,19.99,22613462,AA,95,
1222670,0,22479749,AAA,87,
2767030,0,22004947,AA,80,
238960,0,21782608,AA,89,
1203220,0,21456435,AA,75,
381210,19.99,19927102,AA,79,
433850,0,19843562,Indie,56,
1091500,59.99,19600081,AAA,85,
239140,29.99,19390027,AA,95,
1174180,59.99,19044603,AAA,92,
489830,39.99,18009508,AAA,92,
1245620,59.99,18004900,AAA,93,
648800,19.99,17854078,AA,93,
255710,29.99,17781104,AAA,93,
251570,44.99,17414902,AA,89,
582010,29.99,17353610,AAA,89,
1623730,29.99,17170874,AA,94,
1966720,9.99,16810860,AA,97,
892970,19.99,16649244,AAA,94,
377160,19.99,16542022,AAA,83,
49520,19.99,16139604,AAA,95,
1238810,49.99,16067802,AAA,71,
108600,19.99,15997950,AA,94,
240,9.99,15468468,AAA,96,
400,9.99,14993412,AAA,98,
386360,0,14922472,AA,79,
107410,29.99,14770364,AAA,91,
2358720,59.99,14758748,AAA,97,
552990,0,14604243,AA,77,
10,9.99,14498409,AAA,97,
1086940,59.99,14240914,AAA,97,
700330,0,13743407,Hobbyist,91,
291480,0,13690068,AA,66,
1426210,39.99,13627055,AAA,95,
8930,29.99,13612378,AAA,96,
466240,0,13358568,Indie,79,
1677740,0,13299382,Indie,85,
203160,14.99,13209365,AA,96,
2357570,0,13080990,AA,23,
444200,0,13024307,AA,79,
220,9.99,12964588,AAA,98,
1237970,29.99,12540342,AAA,95,
1240440,0,12300455,AAA,70,
1172620,39.99,12169187,AAA,89,
221100,49.99,12031432,AAA,77,
550650,0,11984477,Indie,76,
548430,29.99,11732908,AAA,97,
304050,0,11575920,AA,80,
204360,14.99,11352741,AA,96,
553850,39.99,11231839,AAA,76,
1238840,39.99,11156371,AAA,86,
222880,14.99,11019016,Indie,92,
632360,24.99,10615890,AA,93,
1818750,0,10389290,AAA,77,
374320,59.99,10346571,AAA,94,
3590,4.99,10322795,Indie,98,
367520,14.99,10319496,AA,97,
823130,0,10255349,AA,88,
397900,0,10218668,Indie,61,
275850,59.99,10134392,AA,83,
244210,19.99,10107043,AA,93,
588430,0,10001371,AAA,89,
1145360,24.99,9968565,AA,98,
218230,0,9922399,Indie,81,
1794680,4.99,9891973,Indie,98,
380600,0,9873931,Indie,87,
990080,59.99,9838907,AAA,90,
1625450,0,9790538,Hobbyist,94,
960090,13.99,9789666,AA,97,
674940,4.99,9452073,AA,94,
304390,29.99,9444612,AAA,70,
2139460,0,9443018,AA,74,
518790,19.99,9371340,AA,89,
814380,59.99,9328006,AA,95,
728880,24.99,9258076,AA,91,
1449850,0,9238333,AAA,75,
379720,19.99,9221530,AAA,96,
306130,19.99,9207278,AAA,82,
224260,0,9087511,Hobbyist,90,
264710,29.99,9082293,AA,97,
394360,49.99,9000776,AAA,91,
2709570,0,8986236,Indie,95,
219740,9.99,8947864,AA,97,
1517290,59.99,8828089,AAA,47,
386180,0,8804056,AA,75,
22380,9.99,8798716,AAA,96,
203770,0,8696200,AAA,91,
774171,2.99,8686719,Indie,91,
677620,0,8639922,Indie,92,
397540,59.99,8617223,AAA,85,
322170,4.99,8572440,Indie,93,
976730,39.99,8557480,AAA,92,
698780,0,8459670,Indie,96,
391540,9.99,8305071,Indie,97,
250900,14.99,8288052,AA,97,
646570,24.99,8279072,AA,98,
284160,24.99,8177269,AA,97,
12210,19.99,8156462,AAA,82,
286160,19.99,8138926,AA,96,
552520,59.99,8047281,AAA,81,
225540,19.99,7933828,AA,84,
281990,39.99,7926511,AAA,88,
435150,44.99,7920365,AAA,96,
391220,29.99,7917046,AA,94,
1222680,69.99,7878040,AAA,84,
766570,0,7844068,Indie,53,
221380,19.99,7826063,AAA,96,
1144200,49.99,7810769,AA,89,
219640,24.99,7750325,AA,83,
363970,0,7745705,Indie,90,
232090,29.99,7612358,AA,88,
2507950,0,7603458,Indie,66,
813780,34.99,7563487,AAA,95,
319630,0,7438319,AA,96,
1063730,59.99,7387543,AAA,69,
311210,59.99,7333344,AAA,84,
8870,29.99,7331858,AAA,94,
594650,29.99,7265730,AA,73,
2567870,4.99,7174726,Indie,91,
262060,24.99,7171200,AA,92,
223710,0,7072941,Hobbyist,89,
1250,19.99,7057752,AA,95,
457140,24.99,6989030,AA,97,
20900,9.99,6934848,AAA,89,
238320,19.99,6933161,AA,96,
760160,0,6914482,Indie,76,
270880,19.99,6894756,AA,97,
1977530,0,6829505,Indie,92,
282070,19.99,6812499,AA,95,
333930,0,6796555,Hobbyist,81,
268910,19.99,6786205,AA,96,
55230,9.99,6772138,AAA,96,
526870,39.99,6760727,AAA,97,
630,0,6717569,AAA,95,
253710,0,6694582,Indie,58,
393380,49.99,6683341,AA,83,
1551360,59.99,6679453,AAA,89,
238460,14.99,6678695,AA,97,
504370,0,6674730,AA,85,
812140,59.99,6667266,AAA,89,
976310,49.99,6666463,AAA,88,
601510,0,6662732,AAA,83,
261550,49.99,6613365,AA,88,
206420,19.99,6572840,AAA,88,
1274570,9.99,6564427,Indie,91,
241930,19.99,6511308,AA,92,
588650,24.99,6509445,AA,97,
323190,29.99,6465438,AA,92,
1665460,0,6441441,AAA,47,
884660,0,6387886,AA,79,
815370,27.99,6366202,AA,86,
1721470,0,6352960,Indie,85,
220240,19.99,6296783,AAA,89,
8190,14.99,6275812,AA,91,
294100,34.99,6263906,AA,98,
431240,14.99,6239344,AA,88,
379430,29.99,6231240,AA,84,
109600,0,6152528,AA,78,
601150,29.99,6146263,AAA,96,
211820,14.99,6131018,AA,90,
231430,19.99,6118721,AA,79,
346900,0,6086223,Indie,88,
113200,4.99,6062403,Indie,95,
312660,59.99,6059649,AA,91,
1172380,39.99,6023648,AAA,89,
1468810,19.99,5998842,AA,53,
