appid,name,release_date,copiesSold
3419430,Bongo Cat,To be announced,716268
2376580,TRIBE NINE,Coming soon,177565
2226280,BAPBAP,Coming soon,104842
3300410,Garten of Banban 0,Coming soon,97139
3300410,Garten of Banban 0,Coming soon,97139
1203190,Wreckfest 2,Coming soon,91904
1796470,HASTE: Broken Worlds,To be announced,85662
3347400,GIRLS' FRONTLINE 2: EXILIUM,To be announced,82769
3224420,Milky Way Idle,Coming soon,79593
3174070,Texas Hold'em Poker: Pokerist,Coming soon,70163
3174070,Texas Hold'em Poker: Pokerist,Coming soon,70163
1691340,STEEL HUNTERS,Coming soon,43132
2549130,ASURAJANG,Coming soon,32150
2958580,Guards II: Prologue,Coming soon,21986
1376200,KARMA: The Dark World,To be announced,21224
3285700,Life is Feudal: Arden,Coming soon,19377
2446600,Dark Deity 2,To be announced,19224
3443610,ZombieCards,Coming soon,17935
3173560,Anomalous Coffee Machine,Coming soon,13737
3173560,Anomalous Coffee Machine,Coming soon,13737
3222970,Find 100 Ducks and Blast Them!,Coming soon,12882
2012190,KAISERPUNK,To be announced,12467
3151250,The Losers Team,Coming soon,12387
3357250,Corner Kitchen Fast Food Simulator,Coming soon,11779
3253630,Gal Guardians: Servants of the Dark,To be announced,9268
3289580,Winter ~Life in the Countryside~,Coming soon,9204
3422160,Frankie's FunClub,Coming soon,8348
2463800,Iron Saga VS,Coming soon,8243
2744010,Urban Jungle,Coming soon,8030
2977620,Squirreled Away,Coming soon,7995
3172280,SEX Amnesia - Lover Sim 🔞,Coming soon,7659
3172280,SEX Amnesia - Lover Sim 🔞,Coming soon,7659
3400040,Haunted Property,Coming soon,7604
3408020,Succubus Forest,Coming soon,7206
2523310,Lingo 2,To be announced,6956
3351080,qualia,Coming soon,6737
3106530,Command & Conquer: Tiberium Alliances,Coming soon,6284
2129810,Reignbreaker,Coming soon,5669
3195530,Streamer's Journey 💖,Coming soon,5547
3158380,Please Subscribe! Magical Revantia Channel: The Magical Girl Powered by Viewers,Coming soon,5545
3158380,Please Subscribe! Magical Revantia Channel: The Magical Girl Powered by Viewers,Coming soon,5545
3405660,Night is Coming — Wrath of the Woods,Coming soon,5210
3172270,Blood & Lust [18+]🩸,Coming soon,5060
3172270,Blood & Lust [18+]🩸,Coming soon,5060
1703610,I Just Want to be Single!! Season One,Coming soon,4921
3107930,MEMOLOGY 2: OLD TIMES,Coming soon,4532
3041820,Lilia: The Fallen Flower in the Prison City,Coming soon,4398
1911940,Twilight Monk,To be announced,4364
3460800,Hidden Cats: City,Coming soon,4158
3460800,Hidden Cats: City,Coming soon,4158
3434440,Welcome Home,Coming soon,4028
2342690,Call of Boba,Coming soon,3902
3132250,Heian City Story,Coming soon,3618
2671010,Turtle Riders,Coming soon,3504
3123830,Dread Tomb,To be announced,3319
2292370,PlayM2M,Coming soon,3309
3439700,HoloCall - Send Your Cheers!,Coming soon,3210
2983140,Trials of Innocence,Coming soon,3061
2829820,Celtic Heroes,Coming soon,3029
3422450,Stray of Lost Cat,Coming soon,2955
3208880,Aquilon's Sex Quest,Coming soon,2918
2586150,The Builder - Season 1,Coming soon,2883
1158880,Nugget Royale,Coming soon,2755
3042830,Legends of Heropolis DX,Coming soon,2738
1100910,GhostCry Hill,Coming soon,2647
3402270,The Dragon Odyssey,Coming soon,2619
2697560,Mojika - Truth Rears Its Ugly Head,Coming soon,2611
3405670,Assetflip attorney,To be announced,2571
3257980,Turtle Riders: Adventure Begins,Coming soon,2548
3384890,Ascent DX,Coming soon,2412
3166910,The Builder - Season 2,Coming soon,2384
3421070,Sayaka's Addiction,Coming soon,2272
3383700,Cards!,Coming soon,2003
3442040,Dream Life in the Country Side,Coming soon,1936
3444690,Dying Sun,Coming soon,1851
3359260,Strawberry,To be announced,1702
3408470,7 Days Shrine,Coming soon,1602
3358360,Motorcycle Night Ride,Coming soon,1578
3433520,The Sixth Sorrow,Coming soon,1428
3051720,Bloodcrave: R18 Prologue,Coming soon,1410
2283580,Voxile,To be announced,1399
2078010,Legends of Immortality,To be announced,1391
2455350,The Deadly Path,To be announced,1384
1888570,Fell,To be announced,1358
2804550,Strongest☆Angel Zerachiel!,Coming soon,1324
2987750,Chorus of Carcosa,To be announced,1272
3399400,Monochrome Echoes - white -,Coming soon,1201
3196830,Boobs Hidden Los Angeles,Coming soon,1160
2121320,TimeLost,Coming soon,1155
3326970,Lustful Victor,Coming soon,1119
3361340,Shop Simulator: Waifu Pillows,Coming soon,1098
2946280,三国战线,Coming soon,982
3314340,Burgie's cozy kitchen,Coming soon,971
2764750,The Other Side,Coming soon,964
3361180,DOOMED Detective Game,Coming soon,956
3365140,BrainRot,Coming soon,897
2978180,Desktop Cat Cafe,Coming soon,886
2822970,Girl Who Shrunk the Neighbors,Coming soon,812
1476360,Hang up Street,Coming soon,796
3316090,The Third Pig,Coming soon,776
3316090,The Third Pig,Coming soon,776
2474750,Happy Card,Coming soon,767
3132770,シシテナオ-Even in Death-,Coming soon,718
3448270,Twilight Tales ∣ hollow's store,Coming soon,709
3367010,CHASERS,Coming soon,699
3198680,Puttler,Coming soon,699
2860020,Doors of Insanity: ReOpened,Coming soon,671
3304750,Mansion of the Dead,Coming soon,654
3304750,Mansion of the Dead,Coming soon,654
3009480,IZON.,Coming soon,632
2768100,Slendrina Remake,Coming soon,627
3488900,Kiloton,Coming soon,619
3417690,Mewseum: Masterpieces,Coming soon,618
3441720,Epimutation,Coming soon,609
2684760,Evil Mountains,Coming soon,584
3387880,Sunbay City Stories: Tina from the Grand Auto Workshop,Coming soon,577
3156070,Trailblader,Coming soon,552
3156070,Trailblader,Coming soon,552
3456350,Where the Walls Breathe,Coming soon,546
3456350,Where the Walls Breathe,Coming soon,546
3385740,Fishing Clicker,Coming soon,535
2490330,Parasite in Love,Coming soon,523
3477880,Moon Journey - China's Lunar Exploration Digital Museum,Coming soon,505
1521330,The Trolley Problem Game,Coming soon,503
2282890,Folklands,Coming soon,493
